match_type,dataset_a,file_a,dataset_b,file_b,hamming_distance
exact,DDR,data\raw\ddr\DR_grading\20170221161327553.jpg,DDR,data\raw\ddr\DR_grading\20170223095206485.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161443950.jpg,DDR,data\raw\ddr\DR_grading\20170223094729353.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161525729.jpg,DDR,data\raw\ddr\DR_grading\20170223094629433.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161526000.jpg,DDR,data\raw\ddr\DR_grading\20170223094629597.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161638764.jpg,DDR,data\raw\ddr\DR_grading\20170223094427379.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161639113.jpg,DDR,data\raw\ddr\DR_grading\20170223094427567.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161725190.jpg,DDR,data\raw\ddr\DR_grading\20170223094344910.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221161840282.jpg,DDR,data\raw\ddr\DR_grading\20170223094123204.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221162224426.jpg,DDR,data\raw\ddr\DR_grading\20170329094415086.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221162224605.jpg,DDR,data\raw\ddr\DR_grading\20170329094415243.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221162251875.jpg,DDR,data\raw\ddr\DR_grading\20170329094455007.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221162252402.jpg,DDR,data\raw\ddr\DR_grading\20170329094456105.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221162325961.jpg,DDR,data\raw\ddr\DR_grading\20170329094643301.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170221195952465.jpg,DDR,data\raw\ddr\DR_grading\20170221200136293.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170222150740420.jpg,DDR,data\raw\ddr\DR_grading\20170223171302321.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170226083547139.jpg,DDR,data\raw\ddr\DR_grading\20170226093026001.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170226083551331.jpg,DDR,data\raw\ddr\DR_grading\20170226093027863.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170303141757903.jpg,DDR,data\raw\ddr\DR_grading\20170324144304719.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170323083645071.jpg,DDR,data\raw\ddr\DR_grading\20170323085108829.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170323083645401.jpg,DDR,data\raw\ddr\DR_grading\20170323085109242.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140135441.jpg,DDR,data\raw\ddr\DR_grading\20170329143137553.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140208565.jpg,DDR,data\raw\ddr\DR_grading\20170329143208143.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140209599.jpg,DDR,data\raw\ddr\DR_grading\20170329143208193.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140245887.jpg,DDR,data\raw\ddr\DR_grading\20170329143238497.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140648051.jpg,DDR,data\raw\ddr\DR_grading\20170329143453583.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140847654.jpg,DDR,data\raw\ddr\DR_grading\20170329143545705.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170324140849407.jpg,DDR,data\raw\ddr\DR_grading\20170329143545777.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170327102502414.jpg,DDR,data\raw\ddr\DR_grading\20170327111710412.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170401090207262.jpg,DDR,data\raw\ddr\DR_grading\20170401090508954.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170401090207661.jpg,DDR,data\raw\ddr\DR_grading\20170401090509347.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170405090223906.jpg,DDR,data\raw\ddr\DR_grading\20170406082610162.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170405091133595.jpg,DDR,data\raw\ddr\DR_grading\20170406082351608.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170411113157251.jpg,DDR,data\raw\ddr\DR_grading\20170411141527445.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170413085306463.jpg,DDR,data\raw\ddr\DR_grading\20170414102603948.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170413085729775.jpg,DDR,data\raw\ddr\DR_grading\20170414102752964.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170413085749781.jpg,DDR,data\raw\ddr\DR_grading\20170414102854581.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170417105356987.jpg,DDR,data\raw\ddr\DR_grading\20170417105537128.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170417105357066.jpg,DDR,data\raw\ddr\DR_grading\20170417105537560.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170417200522114.jpg,DDR,data\raw\ddr\DR_grading\20170417200625313.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170420095437692.jpg,DDR,data\raw\ddr\DR_grading\20170421092004599.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170420095437998.jpg,DDR,data\raw\ddr\DR_grading\20170421092005051.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170420145707902.jpg,DDR,data\raw\ddr\DR_grading\20170420170215777.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090155675.jpg,DDR,data\raw\ddr\DR_grading\20170421090240538.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090155675.jpg,DDR,data\raw\ddr\DR_grading\20170421090335674.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090155675.jpg,DDR,data\raw\ddr\DR_grading\20170421092147452.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090240538.jpg,DDR,data\raw\ddr\DR_grading\20170421090335674.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090240538.jpg,DDR,data\raw\ddr\DR_grading\20170421092147452.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170421090335674.jpg,DDR,data\raw\ddr\DR_grading\20170421092147452.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170424093951909.jpg,DDR,data\raw\ddr\DR_grading\20170424153038492.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170425084700515.jpg,DDR,data\raw\ddr\DR_grading\20170425085526088.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170426173807708.jpg,DDR,data\raw\ddr\DR_grading\20170430150825153.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170426173811370.jpg,DDR,data\raw\ddr\DR_grading\20170430150829830.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170427104445122.jpg,DDR,data\raw\ddr\DR_grading\20170427112456757.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428104123770.jpg,DDR,data\raw\ddr\DR_grading\20170430142406984.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428104701510.jpg,DDR,data\raw\ddr\DR_grading\20170430142545713.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428104714009.jpg,DDR,data\raw\ddr\DR_grading\20170430142552391.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428105022800.jpg,DDR,data\raw\ddr\DR_grading\20170430141128099.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428105426121.jpg,DDR,data\raw\ddr\DR_grading\20170430141737870.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428105824486.jpg,DDR,data\raw\ddr\DR_grading\20170430141400934.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428110005912.jpg,DDR,data\raw\ddr\DR_grading\20170430141501215.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428110010416.jpg,DDR,data\raw\ddr\DR_grading\20170430141507700.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428115748703.jpg,DDR,data\raw\ddr\DR_grading\20170430145132881.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428115908001.jpg,DDR,data\raw\ddr\DR_grading\20170430145548173.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428115910093.jpg,DDR,data\raw\ddr\DR_grading\20170430145542429.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428115936704.jpg,DDR,data\raw\ddr\DR_grading\20170430144622359.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428120034061.jpg,DDR,data\raw\ddr\DR_grading\20170430144951621.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170428120313013.jpg,DDR,data\raw\ddr\DR_grading\20170430145041016.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170429210236417.jpg,DDR,data\raw\ddr\DR_grading\20170429214037193.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170429213932252.jpg,DDR,data\raw\ddr\DR_grading\20170429214529850.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170429213938431.jpg,DDR,data\raw\ddr\DR_grading\20170429214532498.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170430195236495.jpg,DDR,data\raw\ddr\DR_grading\20170430195329560.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170430195240385.jpg,DDR,data\raw\ddr\DR_grading\20170430195329598.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170430202244071.jpg,DDR,data\raw\ddr\DR_grading\20170430202442721.jpg,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\e4e343eaae2a.png,APTOS2019,data\raw\aptos2019\train_images\train_images\43fb6eda9b97.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\e740af6ac6ea.png,APTOS2019,data\raw\aptos2019\train_images\train_images\98f7136d2e7a.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\e76a9cbb2a8c.png,APTOS2019,data\raw\aptos2019\train_images\train_images\bb7e0a2544cd.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\e7a7187066ad.png,APTOS2019,data\raw\aptos2019\train_images\train_images\ce887b196c23.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\e8d1c6c07cf2.png,APTOS2019,data\raw\aptos2019\test_images\test_images\f23902998c21.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ea05c22d92e9.png,APTOS2019,data\raw\aptos2019\train_images\train_images\ca0f1a17c8e5.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ea15a290eb96.png,APTOS2019,data\raw\aptos2019\train_images\train_images\1c9c583c10bf.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ea9e0fb6fb0b.png,APTOS2019,data\raw\aptos2019\train_images\train_images\23d7ca170bdb.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\eadc57064154.png,APTOS2019,data\raw\aptos2019\train_images\train_images\6c3745a222da.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ed3a0fc5b546.png,APTOS2019,data\raw\aptos2019\train_images\train_images\ba735b286d62.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ee2c2a5f7d0e.png,APTOS2019,data\raw\aptos2019\train_images\train_images\7877be80901c.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f03d3c4ce7fb.png,APTOS2019,data\raw\aptos2019\train_images\train_images\9a3c03a5ad0f.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f066db7a2efe.png,APTOS2019,data\raw\aptos2019\train_images\train_images\278aa860dffd.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f0f89314e860.png,APTOS2019,data\raw\aptos2019\val_images\val_images\14e3f84445f7.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f1a761c68559.png,APTOS2019,data\raw\aptos2019\test_images\test_images\ff52392372d3.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f4d3777f2710.png,APTOS2019,data\raw\aptos2019\train_images\train_images\5dc23e440de3.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f6f3ea0d2693.png,APTOS2019,data\raw\aptos2019\train_images\train_images\1e9224ccca95.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f7edc074f06b.png,APTOS2019,data\raw\aptos2019\train_images\train_images\4fecf87184e6.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f7edc074f06b.png,APTOS2019,data\raw\aptos2019\train_images\train_images\9bf060db8376.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\4fecf87184e6.png,APTOS2019,data\raw\aptos2019\train_images\train_images\9bf060db8376.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f920ccd926db.png,APTOS2019,data\raw\aptos2019\train_images\train_images\bcdc8db5423b.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f9e1c439d4c8.png,APTOS2019,data\raw\aptos2019\train_images\train_images\3f44d749cd0b.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\f9ecf1795804.png,APTOS2019,data\raw\aptos2019\train_images\train_images\d28bd830c171.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\fcc6aa6755e6.png,APTOS2019,data\raw\aptos2019\train_images\train_images\60f15dd68d30.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\fda39982a810.png,APTOS2019,data\raw\aptos2019\val_images\val_images\0ac436400db4.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\fe0fc67c7980.png,APTOS2019,data\raw\aptos2019\train_images\train_images\521d3e264d71.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\fea14b3d44b0.png,APTOS2019,data\raw\aptos2019\train_images\train_images\80d24897669f.png,0
exact,APTOS2019,data\raw\aptos2019\test_images\test_images\ff0740cb484a.png,APTOS2019,data\raw\aptos2019\train_images\train_images\b8ac328009e0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1ae8c165fd53.png,APTOS2019,data\raw\aptos2019\train_images\train_images\5a36cea278ae.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1b4625877527.png,APTOS2019,data\raw\aptos2019\train_images\train_images\86b3a7929bec.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1c4d87baaffc.png,APTOS2019,data\raw\aptos2019\train_images\train_images\35aa7f5c2ec0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1c5e6cdc7ee1.png,APTOS2019,data\raw\aptos2019\train_images\train_images\3c53198519f7.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1c6d119c3d70.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a56230242a95.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1cb814ed6332.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a7b0d0c51731.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1dfbede13143.png,APTOS2019,data\raw\aptos2019\train_images\train_images\38fe9f854046.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1e143fa3de57.png,APTOS2019,data\raw\aptos2019\val_images\val_images\144b01e7b993.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1e8a1fdee5b9.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a47432cd41e7.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1e8a1fdee5b9.png,APTOS2019,data\raw\aptos2019\train_images\train_images\b8ebedd382de.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\a47432cd41e7.png,APTOS2019,data\raw\aptos2019\train_images\train_images\b8ebedd382de.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1ee1eb7943db.png,APTOS2019,data\raw\aptos2019\train_images\train_images\c2d2b4f536da.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\1f07dae3cadb.png,APTOS2019,data\raw\aptos2019\val_images\val_images\012a242ac6ff.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\22895c89792f.png,APTOS2019,data\raw\aptos2019\train_images\train_images\bd5013540a13.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\26e231747848.png,APTOS2019,data\raw\aptos2019\train_images\train_images\36ec36c301c1.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2923971566fe.png,APTOS2019,data\raw\aptos2019\train_images\train_images\badb5ff8d3c7.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2a3a1ed1c285.png,APTOS2019,data\raw\aptos2019\train_images\train_images\2b21d293fdf2.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2c2aa057afc5.png,APTOS2019,data\raw\aptos2019\val_images\val_images\135575dc57c9.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2cceb07ff706.png,APTOS2019,data\raw\aptos2019\train_images\train_images\8a759f94613a.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2df07eb5779f.png,APTOS2019,data\raw\aptos2019\train_images\train_images\b91ef82e723a.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\2f7789c1e046.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a8e88d4891c4.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3044022c6969.png,APTOS2019,data\raw\aptos2019\val_images\val_images\04ac765f91a1.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\30cab14951ac.png,APTOS2019,data\raw\aptos2019\train_images\train_images\c546670d9684.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\33105f9b3a04.png,APTOS2019,data\raw\aptos2019\val_images\val_images\111898ab463d.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\36041171f441.png,APTOS2019,data\raw\aptos2019\train_images\train_images\595446774178.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\36677b70b1ef.png,APTOS2019,data\raw\aptos2019\train_images\train_images\7bf981d9c7fe.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\38487e1a5b1f.png,APTOS2019,data\raw\aptos2019\train_images\train_images\b376def52ccc.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3a1d3ce00f0c.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a19507501b40.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3b4a5fcbe5e0.png,APTOS2019,data\raw\aptos2019\train_images\train_images\3ca637fddd56.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3cd801ffdbf0.png,APTOS2019,data\raw\aptos2019\train_images\train_images\7525ebb3434d.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3dbfbc11e105.png,APTOS2019,data\raw\aptos2019\train_images\train_images\d0079cc188e9.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3e86335bc2fd.png,APTOS2019,data\raw\aptos2019\val_images\val_images\0c7e82daf5a0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3ee4841936ef.png,APTOS2019,data\raw\aptos2019\train_images\train_images\7005be54cab1.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\3fd7df6099e3.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a3b2e93d058b.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\40e9b5630438.png,APTOS2019,data\raw\aptos2019\train_images\train_images\77a9538b8362.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\42985aa2e32f.png,APTOS2019,data\raw\aptos2019\train_images\train_images\6165081b9021.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\42a850acd2ac.png,APTOS2019,data\raw\aptos2019\train_images\train_images\51131b48f9d4.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\42a850acd2ac.png,APTOS2019,data\raw\aptos2019\train_images\train_images\8cb6b0efaaac.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\51131b48f9d4.png,APTOS2019,data\raw\aptos2019\train_images\train_images\8cb6b0efaaac.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\435d900fa7b2.png,APTOS2019,data\raw\aptos2019\val_images\val_images\1006345f70b7.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\46cdc8b685bd.png,APTOS2019,data\raw\aptos2019\train_images\train_images\e4151feb8443.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\48c49f662f7d.png,APTOS2019,data\raw\aptos2019\train_images\train_images\6cb98da77e3e.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\4a44cc840ebe.png,APTOS2019,data\raw\aptos2019\val_images\val_images\0cb14014117d.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\4ce74e5eb51d.png,APTOS2019,data\raw\aptos2019\train_images\train_images\c68dfa021d62.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\4d7d6928534a.png,APTOS2019,data\raw\aptos2019\train_images\train_images\94b1d8ad35ec.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\530d78467615.png,APTOS2019,data\raw\aptos2019\train_images\train_images\c1c8550508e0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\576e189d23d4.png,APTOS2019,data\raw\aptos2019\val_images\val_images\1638404f385c.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\5b76117c4bcb.png,APTOS2019,data\raw\aptos2019\train_images\train_images\e037643244b7.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\5e7db41b3bee.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a1b12fdce6c3.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\5eb311bcb5f9.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a9e984b57556.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\6253f23229b1.png,APTOS2019,data\raw\aptos2019\train_images\train_images\76cfe8967f7d.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\63a03880939c.png,APTOS2019,data\raw\aptos2019\val_images\val_images\05a5183c92d0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\64678182d8a8.png,APTOS2019,data\raw\aptos2019\train_images\train_images\6b00cb764237.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\65c958379680.png,APTOS2019,data\raw\aptos2019\val_images\val_images\11242a67122d.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\65e51e18242b.png,APTOS2019,data\raw\aptos2019\train_images\train_images\cc12453ea915.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\68332fdcaa70.png,APTOS2019,data\raw\aptos2019\train_images\train_images\d801c0a66738.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\6e92b1c5ac8e.png,APTOS2019,data\raw\aptos2019\train_images\train_images\9c52b87d01f1.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\71c1a3cdbe47.png,APTOS2019,data\raw\aptos2019\train_images\train_images\79ce83c07588.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\7550966ef777.png,APTOS2019,data\raw\aptos2019\train_images\train_images\8d7bb0649a02.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\75a7bc945b7d.png,APTOS2019,data\raw\aptos2019\train_images\train_images\98104c8c67eb.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\7a0cff4c24b2.png,APTOS2019,data\raw\aptos2019\train_images\train_images\86baef833ae0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\7a3ea1779b13.png,APTOS2019,data\raw\aptos2019\train_images\train_images\a8582e346df0.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\7a3ea1779b13.png,APTOS2019,data\raw\aptos2019\train_images\train_images\c027e5482e8c.png,0
exact,APTOS2019,data\raw\aptos2019\train_images\train_images\7a3ea1779b13.png,APTOS2019,data\raw\aptos2019\train_images\train_images\ca6842bfcbc9.png,0
